State,Year,so2,no2,rspm
Tamil Nadu,2009,11.17064579,20.98751229,71.94785847
Tamil Nadu,2010,9.04994234,19.51682933,69.929766
Tamil Nadu,2011,10.28891736,22.24311339,78.18577835
Tamil Nadu,2012,10.43301998,20.65865023,72.46574579
Tamil Nadu,2013,11.81006768,21.69519393,71.60225376
Tamil Nadu,2014,11.50313808,22.13677599,62.49426087
Uttar Pradesh,2005,13.55471175,24.82154846,173.43361240000002
Uttar Pradesh,2006,12.19401709,25.49464761,177.0767235
Uttar Pradesh,2007,13.55151125,27.59964953,169.8552788
Uttar Pradesh,2008,12.18621968,29.14155556,181.7239875
Uttar Pradesh,2009,11.25663647,28.13715302,178.1990206
Uttar Pradesh,2010,12.7402324,30.65908603,183.30806030000002
Uttar Pradesh,2011,11.04288079,29.35063649,161.1969408
Uttar Pradesh,2012,13.0896107,29.98856761,190.1923362
Uttar Pradesh,2013,10.6071076,26.90496071,184.7217899
Uttar Pradesh,2014,10.42651007,26.92901206,179.32303180000002
Uttarakhand,2005,21.5877551,25.83265306,152.862069
Uttarakhand,2006,25.29518072,27.95180723,120.37931029999999
Uttarakhand,2007,25.41728395,27.6345679,100.2738095
Uttarakhand,2008,25.55384615,26.42307692,124.6388889
Uttarakhand,2009,26.92117308,28.28538846,138.0262882
Uttarakhand,2010,28.2885,30.1477,151.4136875
Uttarakhand,2011,22.4905641,24.2680812,159.7810293
Uttarakhand,2012,26.54666667,29.17333333,180.4158553
Uttarakhand,2013,23.45502646,25.78571429,141.8446154
Uttarakhand,2014,20.36338624,22.39809524,103.2733755
West Bengal,2005,9.957436399,52.80493023,120.4730483
West Bengal,2006,7.375616292,57.06197108,112.713444
West Bengal,2007,7.596230366,59.28200313,101.3901573
West Bengal,2008,8.84976985,67.28960313,106.5359331
West Bengal,2009,12.52946058,65.04062187,151.83183180000003
West Bengal,2010,9.691666667,64.59279661,108.81092279999999
West Bengal,2011,17.13492741,56.92997438,117.22288640000001
West Bengal,2012,41.41406728,54.67385321,106.14755349999999
West Bengal,2013,10.45410413,63.8112098,157.4932619
West Bengal,2014,8.076540137,57.61605476,115.3173615
