state,date,so2,no2,rspm,spm
Delhi,2008,7.091782945736431,58.36153846153849,218.01754385964912,437.91260744985675
Delhi,2009,6.4868544600938955,50.074068767908294,251.4135893648449,487.4756446991404
Delhi,2011,5.325136612021858,58.49180327868852,222.2055172413793,
Delhi,2012,7.444444444444445,81.68402777777777,236.79861111111111,
Delhi,2013,4.487084870848708,89.73431734317343,228.21033210332104,
Delhi,2014,5.137174211248285,63.49245541838135,217.1131284916201,
Goa,2001,46.02727272727273,32.945454545454545,,
Goa,2002,28.2,37.775,,
Goa,2003,0.0,0.0,0.0,0.0
Goa,2004,2.724380165289256,10.777366255144038,51.98601398601399,145.2633744855967
Goa,2005,11.590476190476192,15.20263157894737,52.3,127.09210526315789
Goa,2006,10.322222222222223,11.349751243781093,49.83386581469649,114.65705128205128
Goa,2007,4.411363636363635,13.724497991967873,50.45245901639344,116.46078431372548
Goa,2008,4.366666666666666,15.45,94.0,164.14285714285714
Goa,2009,5.465079365079367,14.19579831932773,71.23134328358209,155.7537313432836
Goa,2010,12.337349397590362,21.537190082644628,68.00655737704918,
Goa,2011,8.65101387406617,16.52991452991453,94.44930629669157,35.94724035608313
Goa,2012,6.231884057971015,17.44927536231884,81.36764705882354,
Goa,2013,7.0479495268138805,11.904040404040405,53.37660747091243,23.312152103559892
Goa,2014,3.259259259259259,7.527777777777778,55.592592592592595,
Gujarat,2001,11.536170212765962,31.22068965517241,,358.52777777777777
Gujarat,2002,13.935338345864661,28.230075187969923,,244.0091743119266
Gujarat,2003,0.0,0.0,0.0,0.06153846153846154
Gujarat,2004,18.606937370956626,27.985953200275226,143.1223018607859,194.97257064093733
Gujarat,2005,17.210202827289464,27.729729729729748,126.27429274292743,238.01538461538462
Gujarat,2006,16.40711538461538,25.74955128205127,114.60141206675225,199.74261874197688
Gujarat,2007,16.430328295987486,25.43687499999998,95.78671510119356,200.090295796575
Gujarat,2008,14.225190452006101,22.66922295581512,87.7977698935631,189.75823618854537
Gujarat,2009,16.12158154859964,23.945109890109837,91.9654794520548,192.3380821917808
Gujarat,2010,15.479081632653061,23.016326530612243,88.46173469387755,
Gujarat,2011,14.943669250645994,25.14470284237726,88.33693972179289,
Gujarat,2012,15.258530183727034,26.37270341207349,94.93350393700787,
Gujarat,2013,12.744554455445545,18.740831134564633,85.95981554677206,28.76979374584165
Gujarat,2014,14.255570275079489,20.130897047676,87.00719152161999,
Haryana,2001,22.849999999999998,14.111111111111109,,313.1666666666667
Haryana,2002,18.28055555555556,23.369444444444447,,431.1666666666667
Haryana,2004,12.952264808362363,22.3247386759582,143.14285714285714,245.37630662020905
Haryana,2005,10.573643410852709,22.778800000000007,127.07600950118764,280.92161520190024
Haryana,2006,10.159788359788354,19.490459363957598,146.50379746835443,268.735368956743
Haryana,2007,8.06158192090395,12.177707006369415,110.46927374301676,182.66480446927375
